Turbulence	Wind_speed	mean_blades	std_blades	mean_tower	std_tower
0.05	4	0.20128410034937363	0.019237327044187867	0.06903077271142544	0.008379160558570192
0.1	4	0.20394531654239545	0.0387543848249782	0.06994289812337046	0.016865313062898072
0.15	4	0.2073966734355487	0.0586008622535962	0.07112618038304859	0.025477583405200874
0.05	5	0.31314358943288517	0.03025616957734127	0.10739260367598276	0.012971854401794995
0.1	5	0.31734027652285496	0.06091000355049916	0.10883060036624552	0.026078506845826126
0.15	5	0.3227997931226609	0.09206942855047737	0.11070198873735174	0.039381729563137464
0.05	6	0.4435475696080764	0.04316679407072162	0.15211390384859905	0.018314291984108184
0.1	6	0.4495198327193253	0.08687013056774562	0.1541595603197901	0.036801292494405786
0.15	6	0.4573502074692504	0.1312267719370509	0.15684304843744923	0.05551240748944094
0.05	7	0.5729612335131966	0.056168171881880835	0.19649543413830825	0.023759751478373226
0.1	7	0.5806785302610605	0.11298886453082395	0.199138278456313	0.04773328074553958
0.15	7	0.5908426641410716	0.17061198153208615	0.20262035562733013	0.07197230132757679
0.05	8	0.7099188920571226	0.06996861693794745	0.24346385928791636	0.029559722420975595
0.1	8	0.7194692294662817	0.1407269069658039	0.2467335788054263	0.059381696543023964
0.15	8	0.7320785677198131	0.21244624505082346	0.25105324491992403	0.08951903875823364
0.05	9	0.89840808242858	0.0885651076960854	0.30810422087398154	0.037130725417464316
0.1	9	0.9104557638327674	0.1780935562441833	0.31222795815544657	0.07455980338333609
0.15	9	0.9264132080359105	0.2687978679537818	0.31769254189053425	0.11240463540580979
0.05	10	1.1090282838941232	0.10929836349542824	0.38033433594676214	0.045534882685237484
0.1	10	1.123844106059639	0.21972655580422704	0.38540328186655026	0.09141495647919841
0.15	10	1.1435112618209307	0.33158924557658537	0.39213742047849354	0.13782846027107049
0.05	11	1.3418095915474149	0.13207857317072974	0.46016367199199726	0.05470960856039854
0.1	11	1.3596037195938928	0.2655471450772282	0.4662508012889605	0.1098786401710183
0.15	11	1.383314056506318	0.400587400574231	0.4743669812290713	0.16554141947827183
0.05	12	1.1318477587408333	0.11444187806157854	0.38816090994554214	0.049603167586375334
0.1	12	1.1468364823792545	0.22996518720140993	0.39328969602474073	0.09955249572673588
0.15	12	1.1669243778820517	0.3469251771959639	0.4001684550396438	0.15002162937644392
0.05	13	0.9645372703870424	0.10044316162063203	0.3307847446382619	0.04561189627359684
0.1	13	0.977303099776097	0.20180829874132705	0.3351551089557462	0.09154103091767056
0.15	13	0.9944174628006496	0.3043972824210029	0.3410175393029822	0.13790575601001298
0.05	14	0.8622887204388253	0.09232687888426319	0.2957203950355305	0.04363748952618416
0.1	14	0.8736518818348936	0.18545233283583715	0.2996120136764762	0.08751990233378337
0.15	14	0.888980755866033	0.2797288420915545	0.3048647520472484	0.131961907930269
0.05	15	0.7936558276543402	0.08720068826375334	0.2721836518472118	0.04259564914866339
0.1	15	0.8040875647049763	0.1752967061426199	0.2757579174259452	0.08565345847042641
0.15	15	0.8181714805292716	0.26439256844507486	0.28058390448367354	0.12911323963324864
0.05	16	0.7355919163778013	0.08302525909535036	0.2522714857118618	0.041869746660919166
0.1	16	0.7452093610183004	0.16687482220739283	0.2555660929185011	0.08417277379996563
0.15	16	0.7582464606703531	0.251884191983569	0.2600349648950371	0.12710446101924758
0.05	17	0.6886721609042178	0.07985131600525341	0.2361801964876184	0.04148666541375976
0.1	17	0.6976748507907136	0.16046494502902703	0.23926461519373818	0.08329720834788208
0.15	17	0.7098200481329152	0.24231053478805384	0.2434275008535303	0.12589789083227443
0.05	18	0.6529211165311756	0.07768146417496308	0.2239189003899731	0.04134910914391839
0.1	18	0.6614106748012092	0.1561642842130041	0.22682696381628473	0.08319281042058564
0.15	18	0.6729610777337363	0.23565312362460067	0.23078540221451382	0.1255826576786186
0.05	19	0.6192970666900446	0.07559968171738198	0.2123873296922305	0.04118142614272109
0.1	19	0.6273029005616215	0.15213232488101772	0.21513004468058136	0.0829923194567264
0.15	19	0.6382324300727499	0.2296599147929217	0.2188749877193215	0.12536165999819956
0.05	20	0.593573556373627	0.07422982729951279	0.20356488529953917	0.04124663584578862
0.1	20	0.6012193140038199	0.14944452923485352	0.20618298817663205	0.08316436923965578
0.15	20	0.6116618339532092	0.22572259056095623	0.20976235239261626	0.12569640453335296
0.05	21	0.5703006329493799	0.0730937058591791	0.19558262010105568	0.04134105747756499
0.1	21	0.57762111303333	0.14722937522816412	0.1980889027325364	0.08347678391514046
0.15	21	0.5876585583691363	0.22231129433054042	0.20152921238053187	0.12617417338360432
0.05	22	0.5534089002270669	0.07255258526476353	0.1897887921479325	0.041715546653031184
0.1	22	0.5604793312859896	0.14606323332044133	0.19220965967041673	0.08412248093610554
0.15	22	0.5701328849311706	0.2207818799693559	0.19551647035395736	0.1272948074307453
0.05	23	0.5328216450695514	0.0716257294336859	0.18272664957005114	0.041866192592680165
0.1	23	0.5395827288725492	0.14422198905880226	0.18504262409210284	0.08442101379102715
0.15	23	0.5489088143112552	0.21808791812244244	0.18823389540182683	0.12786025530040615
0.05	24	0.5173992836897893	0.07116138361416906	0.17743786674052148	0.042131921451125036
0.1	24	0.5239399126653194	0.14317518170300136	0.17967610768288483	0.08486828829083595
0.15	24	0.5329517818731297	0.21666402343781554	0.18276009986642552	0.12868886682723804
0.05	25	0.5018250423664823	0.07048061051197653	0.1720946494688307	0.0422065573606596
0.1	25	0.5081741880110976	0.14202115674591734	0.17426630721456954	0.085216779013409
0.15	25	0.5168646653192824	0.2150068370653389	0.17724079169241813	0.12930100447301565
